"","state","total_prev","male_prev","female_prev"
"1","Alabama ","5.1 ","6.5 ","3.9 "
"2","Alaska ","4.1 ","5.1 ","3.1 "
"3","Arizona ","5.3 ","6.2 ","4.4 "
"4","Arkansas ","5.8 ","7.1 ","4.6 "
"5","California ","3.2 ","4.3 ","2.1 "
"6","Colorado ","5.2 ","6.1 ","4.3 "
"7","Connecticut ","4.1 ","5.3 ","3.0 "
"8","Delaware ","4.0 ","5.4 ","2.8 "
"9","District of Columbia ","2.4 ","3.6 ","1.4 "
"10","Florida ","4.7 ","5.6 ","3.9 "
"11","Georgia ","4.8 ","5.9 ","3.7 "
"12","Hawaii ","4.3 ","6.0 ","2.6 "
"13","Idaho ","4.6 ","4.7 ","4.5 "
"14","Illinois ","4.3 ","5.1 ","3.5 "
"15","Indiana ","4.7 ","5.0 ","4.5 "
"16","Iowa ","4.3 ","4.5 ","4.1 "
"17","Kansas ","4.9 ","6.0 ","3.8 "
"18","Kentucky ","5.6 ","6.3 ","5.0 "
"19","Louisiana ","6.0 ","7.4 ","4.7 "
"20","Maine ","3.8 ","5.0 ","2.7 "
"21","Maryland ","3.2 ","4.5 ","2.0 "
"22","Massachusetts ","4.3 ","5.8 ","2.9 "
"23","Michigan ","4.9 ","5.6 ","4.3 "
"24","Minnesota ","3.8 ","4.8 ","2.8 "
"25","Mississippi ","4.7 ","5.4 ","4.0 "
"26","Missouri ","5.0 ","5.7 ","4.3 "
"27","Montana ","4.1 ","4.3 ","3.8 "
"28","Nebraska ","4.9 ","5.3 ","4.5 "
"29","Nevada ","6.0 ","6.9 ","5.1 "
"30","New Hampshire ","5.1 ","6.8 ","3.5 "
"31","New Jersey ","3.7 ","4.5 ","3.0 "
"32","New Mexico ","4.9 ","5.8 ","3.9 "
"33","New York ","4.1 ","5.4 ","2.9 "
"34","North Carolina ","4.4 ","5.4 ","3.4 "
"35","North Dakota ","3.6 ","3.9 ","3.4 "
"36","Ohio ","5.7 ","5.8 ","5.6 "
"37","Oklahoma ","6.7 ","7.9 ","5.5 "
"38","Oregon ","4.4 ","5.8 ","3.1 "
"39","Pennsylvania ","4.2 ","4.7 ","3.6 "
"40","Rhode Island ","4.5 ","5.9 ","3.2 "
"41","South Carolina ","4.8 ","5.2 ","4.3 "
"42","South Dakota ","2.9 ","3.3 ","2.5 "
"43","Tennessee ","5.7 ","7.3 ","4.2 "
"44","Texas ","4.7 ","6.7 ","2.7 "
"45","Utah ","5.1 ","5.8 ","4.3 "
"46","Vermont ","3.4 ","4.5 ","2.3 "
"47","Virginia ","4.9 ","6.1 ","3.7 "
"48","Washington ","5.3 ","6.7 ","3.9 "
"49","West Virginia ","4.7 ","4.9 ","4.4 "
"50","Wisconsin ","5.3 ","6.7 ","4.0 "
"51","Wyoming ","5.5 ","6.1 ","5.0 "
